info: cargo-llvm-cov currently setting cfg(coverage); you can opt-out it by passing --no-cfg-coverage
   Compiling auto-rust v0.2.0 (C:\My Script\auto-rust)
    Finished `test` profile [unoptimized] target(s) in 53.85s
     Running unittests src\lib.rs (target\llvm-cov-target\debug\deps\auto-b54427a9c358f6d5.exe)
test adaptive::self_healing::strategy::tests::test_connection_recovery_custom ... ok
test adaptive::self_healing::strategy::tests::test_connection_recovery_defaults ... ok
test adaptive::self_healing::strategy::tests::test_error_category_default ... ok
test adaptive::self_healing::strategy::tests::test_error_category_variants ... ok
test adaptive::self_healing::strategy::tests::test_error_recovery_default ... ok
test adaptive::self_healing::strategy::tests::test_error_recovery_select_action ... ok
test adaptive::self_healing::strategy::tests::test_error_severity_default ... ok
test adaptive::self_healing::strategy::tests::test_error_severity_ordering ... ok
test adaptive::self_healing::strategy::tests::test_health_impact_default ... ok
test adaptive::self_healing::strategy::tests::test_performance_recovery_default ... ok
test adaptive::self_healing::strategy::tests::test_performance_tuning_custom ... ok
test adaptive::self_healing::strategy::tests::test_performance_tuning_defaults ... ok
test adaptive::self_healing::strategy::tests::test_recovery_action_type_debug ... ok
test adaptive::self_healing::strategy::tests::test_recovery_result_creation ... ok
test adaptive::self_healing::strategy::tests::test_recovery_result_failed ... ok
test adaptive::self_healing::strategy::tests::test_recovery_strategies_default ... ok
test adaptive::self_healing::strategy::tests::test_recovery_strategies_new ... ok
test adaptive::self_healing::strategy::tests::test_resource_cleanup_defaults ... ok
test adaptive::learning_engine::tests::test_learning_success_improves_adaptation ... ok
test adaptive::self_healing::strategy::tests::test_resource_recovery_default ... ok
test adaptive::self_healing::strategy::tests::test_resource_scaling_custom ... ok
test adaptive::self_healing::strategy::tests::test_resource_scaling_defaults ... ok
test adaptive::self_healing::system::tests::test_check_health_critical_when_many_failures ... ok
test adaptive::self_healing::system::tests::test_check_health_healthy_when_few_failures ... ok
test adaptive::self_healing::system::tests::test_default_same_as_new ... ok
test adaptive::self_healing::system::tests::test_detect_and_recover_returns_none_when_healthy ... ok
test adaptive::self_healing::system::tests::test_detect_and_recover_triggers_recovery ... ok
test adaptive::self_healing::system::tests::test_detect_failure_false_when_few_missing_buttons ... ok
test adaptive::self_healing::system::tests::test_detect_failure_threshold_boundary ... ok
test adaptive::self_healing::system::tests::test_detect_failure_true_when_many_missing_buttons ... ok
test adaptive::self_healing::system::tests::test_execute_recovery_returns_success ... ok
test adaptive::self_healing::system::tests::test_new_creates_healthy_system ... ok
test adaptive::self_healing::system::tests::test_record_adaptation_does_not_panic ... ok
test adaptive::self_healing::system::tests::test_update_recovery_state_resets_failures ... ok
test api::client::tests::test_api_call_error_display ... ok
test api::client::tests::test_api_call_error_permanent ... ok
test api::client::tests::test_api_call_error_retryable ... ok
test api::client::tests::test_circuit_breaker_closes_on_successes ... ok
test api::client::tests::test_circuit_breaker_custom_thresholds ... ok
test api::client::tests::test_circuit_breaker_default_values ... ok
test api::client::tests::test_circuit_breaker_failure_in_half_open_opens ... ok
test api::client::tests::test_circuit_breaker_half_open_allows_execution ... ok
test api::client::tests::test_circuit_breaker_multiple_successes_in_closed ... ok
test api::client::tests::test_api_client_new_creates_client ... ok
test api::client::tests::test_api_client_can_execute_without_circuit_breaker ... ok
test api::client::tests::test_api_client_with_retry_policy ... ok
test api::client::tests::test_circuit_breaker_open_blocks_execution ... ok
test api::client::tests::test_api_client_can_execute_with_closed_circuit ... ok
test api::client::tests::test_api_client_with_circuit_breaker ... ok
test api::client::tests::test_api_client_can_execute_with_open_circuit ... ok
test api::client::tests::test_circuit_breaker_opens_on_failures ... ok
test api::client::tests::test_circuit_breaker_reset ... ok
test api::client::tests::test_circuit_breaker_single_failure_does_not_open ... ok
test api::client::tests::test_circuit_breaker_state_accessor ... ok
test api::client::tests::test_circuit_breaker_success_in_closed_state ... ok
test api::client::tests::test_circuit_breaker_very_large_thresholds ... ok
test api::client::tests::test_retry_policy_negative_jitter ... ok
test api::client::tests::test_circuit_breaker_zero_success_threshold ... ok
test api::client::tests::test_circuit_state_inequality ... ok
test api::client::tests::test_circuit_state_variants ... ok
test api::client::tests::test_delay_capped_by_max ... ok
test api::client::tests::test_delay_for_attempt_increases_exponentially ... ok
test api::client::tests::test_delay_for_attempt_zero_returns_zero ... ok
test api::client::tests::test_retry_policy_zero_initial_delay ... ok
test api::client::tests::test_retry_policy_default_values ... ok
test api::client::tests::test_retry_policy_large_factor ... ok
test api::client::tests::test_circuit_breaker_zero_failure_threshold ... ok
test api::client::tests::test_retry_policy_very_high_attempt ... ok
test api::client::tests::test_retry_policy_zero_factor ... ok
test api::client::tests::test_retry_policy_custom_values ... ok
test api::client::tests::test_retry_policy_very_large_jitter ... ok
test api::client::tests::test_retry_policy_jitter_range ... ok
test api::client::tests::test_retry_policy_zero_retries ... ok
test api::client::tests::test_retry_policy_fractional_factor ... ok
test api::client::tests::test_retryable_status_classification ... ok
test api::tests::test_circuit_state_equality ... ok
test api::tests::test_api_re_exports_exist ... ok
test api::tests::test_circuit_state_clone ... ok
test api::tests::test_circuit_state_copy ... ok
test api::tests::test_circuit_state_debug ... ok
test api::tests::test_circuit_state_variants ... ok
test bacon_agent_nvidia::coder::tests::test_ambiguous_whitespace_insensitive_match_rejected ... ok
test bacon_agent_nvidia::coder::tests::test_blank_line_insensitive_match_ignores_only_blank_lines ... ok
test bacon_agent_nvidia::coder::tests::test_blank_line_insensitive_match_rejects_changed_nonblank_line ... ok
test bacon_agent_nvidia::coder::tests::test_detect_merged_rust_attribute_boundary ... ok
test bacon_agent_nvidia::coder::tests::test_normalize_search_replace_fences_keeps_valid_fences ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_all_phrases_detected ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_cannot_complete ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_cannot_implement ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_cant_implement ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_case_insensitive ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_dont_know ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_empty_string ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_i_cannot ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_no_match ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_not_possible ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_outside_my ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_partial_word_no_false_match ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_unable_to_implement ... ok
test bacon_agent_nvidia::coder::tests::test_refusal_wont_implement ... ok
test bacon_agent_nvidia::coder::tests::test_response_preview_truncates_long_output ... ok
test bacon_agent_nvidia::coder::tests::test_signal_scope_reduction_increments_count ... ok
test bacon_agent_nvidia::coder::tests::test_signal_scope_reduction_new_description ... ok
test bacon_agent_nvidia::coder::tests::test_signal_scope_reduction_preserves_fields ... ok
test bacon_agent_nvidia::coder::tests::test_signal_scope_reduction_sets_flags ... ok
test api::client::tests::test_api_client_get_success ... ok
test api::client::tests::test_api_client_get_with_key_auth_header ... ok
test bacon_agent_nvidia::coder::tests::test_unique_whitespace_insensitive_match ... ok
test bacon_agent_nvidia::coder::tests::test_suggest_existing_rust_target_prefers_module_file ... ok
test bacon_agent_nvidia::coder::tests::test_validation_different_files_same_search_ok ... ok
test bacon_agent_nvidia::coder::tests::test_validation_passes_valid_blocks ... ok
test bacon_agent_nvidia::coder::tests::test_validation_passes_valid_blocks_multiple_files ... ok
test bacon_agent_nvidia::coder::tests::test_validation_rejects_duplicate_blocks ... ok
test bacon_agent_nvidia::coder::tests::test_validation_rejects_empty_replace ... ok
test bacon_agent_nvidia::coder::tests::test_validation_rejects_short_response ... ok
test bacon_agent_nvidia::coder::tests::test_validation_rejects_speculative_prose_note ... ok
test bacon_agent_nvidia::coder::tests::test_validation_rejects_stray_patch_marker_inside_search ... ok
test bacon_agent_nvidia::coder::tests::test_validation_rejects_trivial_search ... ok
test bacon_agent_nvidia::coder::tests::test_whitespace_insensitive_fallback_disabled_for_rust_files ... ok
test bacon_agent_nvidia::coder::tests::test_parse_search_replace_blocks_normalizes_near_miss_fences ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_chat_message_defaults ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_chat_message_no_content ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_chat_message_serialize ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_chat_request_creation ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_chat_request_serialize ... ok
test bacon_agent_nvidia::strategist::tests::extract_code_file_refs_prefers_specific_plan_files ... ok
test bacon_agent_nvidia::strategist::tests::test_extract_title_empty_fallback ... ok
test bacon_agent_nvidia::strategist::tests::test_extract_title_fallback_to_first_line ... ok
test bacon_agent_nvidia::strategist::tests::test_extract_title_from_h1 ... ok
test bacon_agent_nvidia::strategist::tests::test_extract_title_from_h2 ... ok
test bacon_agent_nvidia::strategist::tests::test_slugify_basic ... ok
test bacon_agent_nvidia::strategist::tests::test_slugify_special_chars ... ok
test bacon_agent_nvidia::strategist::tests::test_slugify_truncates ... ok
test bacon_agent_nvidia::cli::tests::test_nvidia_config_from_args_placeholder_when_no_env ... ok
test bacon_agent_nvidia::strategist::tests::validate_autonomous_plan_rejects_speculative_performance_work ... ok
test bacon_core::agent::tests::no_action_description_detects_observer_noop ... ok
test bacon_agent_nvidia::strategist::tests::validate_autonomous_plan_accepts_small_grounded_maintenance_work ... ok
test bacon_agent_nvidia::strategist::tests::test_extract_section_exact_header_match ... ok
test bacon_core::confidence_tests::extract_confidence_case_insensitive ... ok
test bacon_core::confidence_tests::extract_confidence_empty_response ... ok
test bacon_agent_nvidia::strategist::tests::test_extract_section_fallback ... ok
test bacon_core::confidence_tests::extract_confidence_first_match_wins ... ok
test bacon_core::confidence_tests::extract_confidence_invalid_value ... ok
test bacon_core::confidence_tests::extract_confidence_low ... ok
test bacon_core::cli_types::tests::max_attempts_omitted_is_none ... ok
test bacon_core::cli_types::tests::parses_top_level_auto_apply_flag ... ok
test bacon_core::cli_types::tests::parses_run_auto_apply_flag ... ok
test bacon_core::cli_types::tests::parses_top_level_max_attempts_flag ... ok
test bacon_core::cli_types::tests::parses_run_max_attempts_flag ... ok
test bacon_core::confidence_tests::extract_confidence_markdown_bold ... ok
test bacon_agent_nvidia::strategist::tests::test_extract_section_found ... ok
test bacon_core::confidence_tests::extract_confidence_multiple_lines ... ok
test bacon_core::confidence_tests::extract_confidence_no_confidence_section ... ok
test bacon_core::confidence_tests::extract_confidence_no_match ... ok
test bacon_core::confidence_tests::extract_confidence_realistic_llm_output ... ok
test bacon_core::confidence_tests::extract_confidence_standard ... ok
test bacon_core::confidence_tests::extract_confidence_trailing_punctuation ... ok
test bacon_core::confidence_tests::extract_confidence_with_inline_reasoning_not_matched ... ok
test bacon_agent_nvidia::cli::tests::test_nvidia_config_from_args_falls_back_to_env ... ok
test bacon_core::spec_io::tests::test_active_dir_is_child_of_specs_root ... ok
test bacon_core::spec_io::tests::test_done_dir_is_child_of_specs_root ... ok
test bacon_core::spec_io::tests::test_spec_meta_debug ... ok
test bacon_core::spec_io::tests::test_specs_root_ends_with_docs_specs ... ok
test bacon_core::spec_io::tests::test_spec_meta_serialize_roundtrip ... ok
test bacon_core::spec_io::tests::test_list_active_specs_returns_ok ... ok
test bacon_core::tests::count_spec_file_refs_handles_repo_relative_paths_and_backslashes ... ok
test bacon_core::tests::external_worker_rejects_plain_stdout ... ignored, CMD echo escaping differs on Windows; tested on Linux/Mac
test bacon_core::tests::external_worker_stdout_json_becomes_context ... ignored, CMD echo escaping differs on Windows; tested on Linux/Mac
test bacon_core::tests::extract_json_object_recovers_braced_json ... ok
test bacon_agent_nvidia::cli::tests::test_nvidia_config_from_args_uses_bacon_toml_model_when_env_blank ... ok
test bacon_core::tests::agent_llm_config_reads_nvidia_settings ... ok
test bacon_core::tests::extract_json_object_returns_none_with_no_brace ... ok
test bacon_core::tests::agent_llm_config_returns_empty_for_unknown_agent ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_nvidia_config_default_base_url ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_nvidia_config_default_has_placeholder_key ... ok
test bacon_core::tests::is_safe_agent_name_rejects_path_separators ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_nvidia_config_default_loads_env ... ok
test bacon_core::tests::is_safe_agent_name_accepts_alphanumeric ... ok
test bacon_core::tests::pipeline_config_defaults_stage_delay_ms_to_zero ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_nvidia_config_default_max_tokens ... ok
test bacon_core::tests::pipeline_config_parses_stage_delay_ms ... ok
test bacon_core::tests::read_role_prompt_returns_empty_for_unknown_role ... ok
test bacon_core::tests::from_bacon_toml_parses_real_config ... ok
test bacon_core::tests::should_run_with_resume_skips_earlier_stages ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_nvidia_config_default_model ... ok
test bacon_core::tests::should_run_without_resume_always_true ... ok
test bacon_core::tests::resolve_agent_binary_falls_back_to_name ... ok
test bacon_agent_nvidia::coder::tests::test_validate_blocks_within_spec_scope_allows_plan_file ... ok
test bacon_core::tests::stage_from_name_parses_correctly ... ok
test bacon_core::tests::worker_output_error_statuses_fail ... ok
test bacon_agent_nvidia::coder::tests::test_validate_blocks_within_spec_scope_rejects_unlisted_file ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_nvidia_config_default_temperature ... ok
test bacon_core::tests::read_role_prompt_returns_content_for_known_roles ... ok
test bacon_core::tests::worker_output_ok_status_succeeds ... ok
test bacon_core::tests::worker_output_falls_back_to_summary ... ok
test bacon_agent_nvidia::nvidia_api::tests::test_nvidia_config_default_top_p ... ok
test browser::tests::test_browser_filter_matching ... ok
test browser::tests::test_matches_browser_filters_candidate_with_numbers ... ok
test browser::tests::test_discover_browsers_with_filters_empty_filter_string ... ok
test browser::tests::test_discover_browsers_with_filters_empty_config_with_filter ... ok
test browser::tests::test_discover_browsers_with_filters_empty_config_no_filter ... ok
test bacon_agent_nvidia::coder::tests::test_attach_live_source_context_includes_rust_file_excerpt ... ok
test bacon_agent_nvidia::coder::tests::test_save_coder_response_writes_raw_reply ... ok
test bacon_agent_nvidia::strategist::tests::test_write_spec_package_in_creates_streamlined_files ... ok
test browser::tests::test_matches_browser_filters_empty ... ok
test browser::tests::test_matches_browser_filters_case_insensitive ... ok
test browser::tests::test_matches_browser_filters_empty_candidate ... ok
test browser::tests::test_matches_browser_filters_empty_filter_ignored ... ok
test browser::tests::test_matches_browser_filters_filter_with_spaces ... ok
test browser::tests::test_matches_browser_filters_filter_with_special_chars ... ok
test browser::tests::test_matches_browser_filters_multiple_filters ... ok
test browser::tests::test_matches_browser_filters_multiple_matches ... ok
test bacon_core::tests::from_bacon_toml_path_parses_stage_delay_ms ... ok
test browser::tests::test_matches_browser_filters_normalized_match ... ok
test browser::tests::test_matches_browser_filters_numeric_filter ... ok
test browser::tests::test_matches_browser_filters_partial_match ... ok
test browser::tests::test_matches_browser_filters_substring_match ... ok
test bacon_core::tests::scan_project_structure_returns_summary ... ok
test browser::tests::test_normalize_browser_token ... ok
test browser::tests::test_matches_browser_filters_very_long_candidate ... ok
test browser::tests::test_normalize_browser_token_consecutive_special_chars ... ok
test browser::tests::test_matches_browser_filters_very_long_filter ... ok
test browser::tests::test_normalize_browser_token_empty_after_filtering ... ok
test browser::tests::test_normalize_browser_token_leading_trailing_special_chars ... ok
test browser::tests::test_normalize_browser_token_mixed_case ... ok
test browser::tests::test_normalize_browser_token_only_special_chars ... ok
test browser::tests::test_normalize_browser_token_preserves_numbers ... ok
test browser::tests::test_normalize_browser_token_unicode ... ok
test browser::tests::test_normalize_browser_token_whitespace_only ... ok
test browser::tests::test_profile_matches_filters_both_name_and_type ... ok
test browser::tests::test_profile_matches_filters_by_name ... ok
test browser::tests::test_profile_matches_filters_by_type ... ok
test bacon_core::tests::validate_spec_file_refs_normalizes_windows_paths_and_keeps_existing_files ... ok
test browser::tests::test_profile_matches_filters_case_sensitivity ... ok
test browser::tests::test_profile_matches_filters_empty_filters ... ok
test bacon_core::spec_io::tests::write_spec_meta_preserves_schema_fields ... ok
test browser::tests::test_profile_matches_filters_name_only ... ok
test browser::tests::test_profile_matches_filters_no_match ... ok
test browser::tests::test_profile_matches_filters_type_only ... ok
test browser::tests::test_session_matches_filters_empty_filters ... ok
test capabilities::tests::test_clipboard_functions_accessible ... ok
test capabilities::tests::test_clipboard_module_reexports ... ok
test capabilities::tests::test_clipboard_state_type ... ok
test capabilities::tests::test_keyboard_module_reexports ... ok
test capabilities::tests::test_module_structure ... ok
test bacon_agent_nvidia::strategist::tests::build_prompt_uses_coder_errors_for_scope_reduction_context ... ok
test capabilities::tests::test_mouse_module_reexports ... ok
test capabilities::tests::test_navigation_module_reexports ... ok
test capabilities::tests::test_reexport_privacy ... ok
test bacon_core::spec_io::tests::allocate_spec_dir_uses_max_existing_prefix_plus_one ... ok
test capabilities::tests::test_scroll_module_reexports ... ok
test capabilities::tests::test_timing_module_reexports ... ok
test bacon_agent_nvidia::strategist::tests::build_prompt_includes_relevant_source_files ... ok
test cli::parser::tests::test_format_task_groups_empty ... ok
test cli::parser::tests::test_format_task_groups ... ok
test cli::parser::tests::test_format_task_groups_single_group ... ok
test cli::parser::tests::test_parse_browser_filters ... ok
test cli::parser::tests::test_parse_browser_filters_dedup ... ok
test api::client::tests::test_api_client_retry_on_500_then_success ... ok
test cli::parser::tests::test_parse_browser_filters_empty ... ok
test cli::parser::tests::test_parse_task_groups_smoke_test ... ok
test cli::parser::tests::test_parse_browser_filters_single ... ok
test cli::parser::tests::test_parse_task_groups_empty ... ok
test cli::parser::tests::test_parse_task_groups_multiple_tasks_same_group ... ok
test cli::parser::tests::test_parse_task_groups_single_task ... ok
test cli::parser::tests::test_parse_task_groups_with_numeric_value ... ok
test cli::parser::tests::test_parse_task_groups_with_js_extension ... ok
test cli::parser::tests::test_parse_task_groups_with_explicit_url ... ok
test cli::parser::tests::test_parse_task_groups_with_spaces ... ok
test cli::parser::tests::test_parse_task_groups_with_url ... ok
test cli::parser::tests::test_parse_task_groups_with_then_separator ... ok
test cli::tests::test_args_parse_dry_run_flag ... ok
test cli::tests::test_args_parse_help_task_flag ... ok
test cli::tests::test_args_parse_list_tasks_and_dry_run_flags ... ok
test cli::tests::test_args_parse_list_tasks_flag ... ok
test cli::tests::test_format_task_groups ... ok
test cli::tests::test_args_parse_positional_tasks_with_flags ... ok
test cli::tests::test_get_task_help_known_task ... ok
test cli::tests::test_get_task_help_unknown_task ... ok
test cli::tests::test_parse_browser_filters ... ok
test cli::tests::test_parse_task_groups_empty ... ok
test cli::tests::test_parse_task_groups_multiple_tasks_same_group ... ok
test cli::tests::test_parse_task_groups_single_task ... ok
test cli::tests::test_parse_task_groups_smoke_test ... ok
test cli::tests::test_parse_task_groups_with_explicit_url ... ok
test cli::tests::test_parse_task_groups_with_js_extension ... ok
test cli::tests::test_parse_task_groups_with_numeric_value ... ok
test cli::tests::test_parse_task_groups_with_spaces ... ok
test cli::tests::test_parse_task_groups_with_then_separator ... ok
test cli::tests::test_parse_task_groups_with_url ... ok
test cli::tests::test_render_task_help_known_task ... ok
test cli::tests::test_render_task_help_unknown_task ... ok
test config::tests::test_browser_config_clone ... ok
test config::tests::test_browser_config_cursor_overlay_ms ... ok
test config::tests::test_browser_config_defaults ... ok
test config::tests::test_browser_config_max_workers_per_session ... ok
test config::tests::test_browser_config_with_extra_headers ... ok
test config::tests::test_browser_config_with_user_agent ... ok
test config::tests::test_browser_profile_custom_values ... ok
test config::tests::test_browser_profile_defaults ... ok
test bacon_core::tests::collect_source_context_limits_files_and_lines ... ok
test config::tests::test_circuit_breaker_config_custom_values ... ok
test config::tests::test_circuit_breaker_config_defaults ... ok
test config::tests::test_config_struct_debug ... ok
test config::tests::test_config_validation_report_add_error ... ok
test config::tests::test_config_validation_report_add_warning ... ok
test config::tests::test_config_validation_report_clone ... ok
test config::tests::test_config_validation_report_new ... ok
test config::tests::test_engagement_limits_config_custom_values ... ok
test config::tests::test_engagement_limits_config_defaults ... ok
test config::tests::test_load_config_applies_remaining_env_invalid_falls_back ... ignored
test bacon_core::tests::collect_source_context_handles_nonexistent_files ... ok
test bacon_core::tests::collect_source_context_handles_windows_path_separators ... ok
test config::tests::test_native_click_calibration_mode_as_str ... ok
test config::tests::test_native_click_calibration_mode_case_insensitive ... ok
test config::tests::test_native_click_calibration_mode_from_env ... ok
test config::tests::test_native_click_calibration_mode_partial_equality ... ok
test bacon_core::tests::collect_source_context_extracts_file_paths ... ok
test config::tests::test_native_input_backend_as_str ... ok
test config::tests::test_native_input_backend_case_insensitive ... ok
test config::tests::test_native_input_backend_from_env ... ok
test config::tests::test_native_input_backend_partial_equality ... ok
test config::tests::test_native_interaction_config_defaults ... ok
test config::tests::test_orchestrator_config_clone ... ok
test config::tests::test_orchestrator_config_custom_values ... ok
test config::tests::test_orchestrator_config_defaults ... ok
test config::tests::test_roxybrowser_config_defaults ... ok
test config::tests::test_roxybrowser_config_with_api_key ... ok
test config::tests::test_task_discovery_config_defaults ... ok
test config::tests::test_tracing_config_defaults ... ok
test config::tests::test_tracing_config_with_custom_values ... ok
test config::tests::test_twitter_activity_config_candidate_scan_interval ... ok
test config::tests::test_twitter_activity_config_clone ... ok
test config::tests::test_twitter_activity_config_defaults ... ok
test config::tests::test_twitter_activity_config_scroll_amount_override ... ok
